 file_name                                               solver_name  setup_time (usecs)  solve_time (usecs)  status 
 almost_symmetric_network_16_orgs_                       VariSat      27200               59912               UNSAT 
 almost_symmetric_network_16_orgs_                       Splr         65983               1131944             UNSAT 
 almost_symmetric_network_16_orgs_                       BatSat       20698               43240               UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_1   ScrewSat     142207              2156797             UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_1   VariSat      41285               132315              UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_1   Splr         110492              6157443             UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_1   BatSat       33045               264471              UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_10  ScrewSat     1531                255                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_10  VariSat      713                 153                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_10  Splr         736                 91                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_10  BatSat       361                 67                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_11  ScrewSat     1560                302                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_11  VariSat      955                 139                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_11  Splr         1075                109                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_11  BatSat       410                 74                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_12  ScrewSat     1296                434                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_12  VariSat      961                 124                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_12  Splr         699                 91                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_12  BatSat       340                 86                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_13  ScrewSat     4172                627                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_13  VariSat      378                 167                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_13  Splr         763                 66                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_13  BatSat       335                 69                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_14  ScrewSat     1274                215                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_14  VariSat      353                 198                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_14  Splr         623                 931                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_14  BatSat       319                 102                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_15  ScrewSat     2152                70                  SAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_15  VariSat      1013                83                  SAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_15  Splr         3066                2172                SAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_15  BatSat       523                 77                  SAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_2   ScrewSat     129664              298485              UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_2   VariSat      36590               40821               UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_2   Splr         87465               834814              UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_2   BatSat       28915               33374               UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_3   ScrewSat     25618               7879                UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_3   VariSat      8764                1612                UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_3   Splr         17735               297532              UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_3   BatSat       5851                688                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_4   ScrewSat     15755               3695                UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_4   VariSat      4831                2039                UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_4   Splr         10217               1225                UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_4   BatSat       3868                321                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_5   ScrewSat     3484                515                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_5   VariSat      1031                310                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_5   Splr         2097                209                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_5   BatSat       841                 115                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_6   ScrewSat     6469                912                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_6   VariSat      1707                952                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_6   Splr         3347                1922                UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_6   BatSat       1353                162                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_7   ScrewSat     2206                484                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_7   VariSat      651                 221                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_7   Splr         1235                267                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_7   BatSat       541                 124                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_8   ScrewSat     1831                595                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_8   VariSat      412                 78                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_8   Splr         734                 75                  UNSAT 
